Language	Beta	EE	Memories	UpperBound	FutureSurp	avg16	avg17	avg18	avg19	 dropout1	emb_dim	rnn_dim	rnn_layers	lr	model	dropout2	batchSize	horizon	beta	flow_layers	flow_type	Iterations	flow_hid_dim	in_flow_layers	UpperBound2
Russian	0.0821155057756	1.01631639077	7.11431851485	21.8219766115	5.11241767074	5.48624646682	5.32420486673	5.25222793651	5.21247043591	0.4	150	256	1	0.0005	REAL_REAL	0.2	32	30	0.0821155057756	5	ddsf	36	512	2	6.27722931093
LDC95T8	0.00799847319635	3.21416748554	56.7801553941	26.8906491985	3.89319945738	4.55462927217	4.29902166957	4.16283328207	4.08499113566	0.4	150	256	1	0.001	REAL_REAL	0.2	32	30	0.00799847319635	5	dsf	33	512	2	15.0571231975
Arabic	0.0313220631945	1.82065324758	25.8234027604	33.7867652788	5.27675559012	5.48015448401	5.4057390103	5.36788150763	5.34429508646	0.1	150	512	1	0.0001	REAL_REAL	0.05	32	30	0.0313220631945	4	dsf	70	512	2	12.397194306
Russian	0.0667478884162	0.806574355334	7.77876679482	16.7031044505	5.12902386436	5.63172653709	5.4102362629	5.31304763453	5.2596854785	0.4	150	256	1	0.001	REAL_REAL	0.2	32	30	0.0667478884162	3	dsf	19	512	2	6.27817042305
Russian	0.00356529373486	1.64127689706	30.6805149193	94.0025608806	5.12742557203	5.18274722799	5.16030911274	5.14996680105	5.14387578149	0.4	150	256	1	0.0001	REAL_REAL	0.2	32	30	0.00356529373486	1	ddsf	108	512	2	155.464044058
Russian	0.00634006130246	1.64869220781	25.1398564958	93.795729074	5.11501128711	5.18044742048	5.1532662936	5.14062251985	5.13349582283	0.4	150	256	1	0.0001	REAL_REAL	0.2	32	30	0.00634006130246	3	ddsf	120	512	2	155.099030821
Russian	0.0183632911251	1.4329512956	13.6094219902	47.7694818442	5.14597324851	5.26386260951	5.21356001895	5.19131100978	5.17860679589	0.4	150	256	1	5e-05	REAL_REAL	0.2	32	30	0.0183632911251	1	ddsf	195	512	2	27.1630608025
LDC95T8	0.00260246240057	3.64054166779	101.261923459	34.5384833133	3.84402626435	4.31705139067	4.13608027802	4.03883317117	3.98308035405	0.4	150	256	1	0.001	REAL_REAL	0.2	32	30	0.00260246240057	4	ddsf	38	512	2	22.9276441727
Russian	0.0756659607515	0.706858801443	7.53289682846	16.6698347144	5.1115586538	5.69242358348	5.43492949823	5.32285539086	5.26194676715	0.4	150	256	1	0.001	REAL_REAL	0.2	32	30	0.0756659607515	2	dsf	29	512	2	6.27713880248
PTB	0.0757964017807	2.18101016676	10.613689476	30.2566267749	4.6173736334	5.0267216292	4.86099825471	4.78318501256	4.73769392201	0.1	100	256	1	0.0001	REAL	0.1	32	30	0.0757964017807	1	ddsf	111	512	2	11.4957004417
LDC95T8	0.288901997219	1.88715123601	4.14998745053	19.2389307909	4.06753088583	5.28160933353	4.79924674721	4.55519300228	4.41784361215	0.4	150	256	1	0.0001	REAL_REAL	0.2	32	30	0.288901997219	4	ddsf	117	512	2	6.41020871367
PTB	0.00303085297068	3.102029783	55.4708951937	57.7144399515	4.55025584818	4.63854696472	4.60651702006	4.58955122449	4.57923813405	0.2	100	256	1	0.0001	REAL	0.0	32	30	0.00303085297068	2	ddsf	110	512	2	48.6053272945
Japanese	0.199311029588	-0.476835810169	4.06729641798	6.31148592727	5.40514084675	6.15637184929	5.74204136697	5.59918257911	5.53757558776	0.1	150	512	1	0.0005	REAL_REAL	0.05	2	30	0.199311029588	4	dsf	12	512	2	0
LDC95T8	0.063444298352	2.5173802085	16.9554401957	19.0500127344	3.95476641993	4.95053979141	4.56122782298	4.35851009492	4.24314538265	0.4	150	256	1	0.001	REAL_REAL	0.2	32	30	0.063444298352	5	ddsf	31	512	2	10.9535188779
PTB	0.0353141091778	2.47999170339	15.9037861324	34.9466645662	4.61782306805	4.90819730403	4.78879574226	4.733466081	4.70175120966	0.1	100	256	1	0.0001	REAL	0.2	32	30	0.0353141091778	2	ddsf	104	512	2	21.0088502822
PTB	0.0825600568058	2.2238724356	10.5880885824	30.3058378631	4.61450144973	5.00048242605	4.85005829751	4.77690744921	4.73313184371	0.2	100	256	1	0.0001	REAL	0.0	32	30	0.0825600568058	2	ddsf	108	512	2	11.5190500296
Russian	0.00715617817068	1.64368790601	22.3114321555	94.0899792207	5.13144181812	5.19878450311	5.1711754903	5.15822134764	5.15072188839	0.4	150	256	1	0.0001	REAL_REAL	0.2	32	30	0.00715617817068	2	dsf	104	512	2	155.586942449
PTB	0.00451974347747	3.03341555327	44.3170463455	57.955096653	4.57615384272	4.67333329796	4.6374965453	4.61851930905	4.60737804359	0.2	100	256	1	0.0001	REAL	0.0	32	30	0.00451974347747	2	ddsf	93	512	2	53.3763799673
LDC2012T05	0.00491180999138	1.53263772618	103.632335575	30.2502797906	5.62924075125	6.2291020134	5.96561209251	5.85079603288	5.78818164806	0.1	150	512	1	0.001	REAL_REAL	0.05	64	30	0.00491180999138	4	dsf	17	512	2	13.1063597234
LDC2012T05	0.00342860149667	2.34358735973	76.4858193425	40.9139856078	5.48306527705	5.7528025229	5.64229832747	5.59085851533	5.56081095394	0.4	150	256	1	0.001	REAL_REAL	0.2	32	30	0.00342860149667	4	ddsf	35	512	2	24.344149566
PTB	0.0293859049203	2.34171663877	18.1333342265	35.1416365634	4.65389182572	4.89787737273	4.79856284807	4.75248764908	4.72545936271	0.0	50	256	1	0.001	REAL	0.1	32	30	0.0293859049203	1	dsf	116	512	2	16.372789563
Russian	0.0127510504545	1.56637844094	17.1664775902	94.0208294385	5.13021678007	5.22294182784	5.18453433658	5.16706643216	5.15681452532	0.4	150	256	1	0.0001	REAL_REAL	0.2	32	30	0.0127510504545	5	dsf	108	512	2	155.472881843
LDC2012T05	0.012157035657	2.24293836571	19.7944827455	107.075552669	5.81562540522	5.93591470884	5.88822428009	5.86607774157	5.85274852407	0.4	150	256	1	5e-05	REAL_REAL	0.2	32	30	0.012157035657	5	dsf	130	512	2	176.711700522
Russian	0.00394243067738	1.55570805303	38.2069218362	89.0697763943	5.14325253995	5.21129541856	5.18264012099	5.16945537005	5.16216328969	0.4	150	256	1	0.0001	REAL_REAL	0.2	32	30	0.00394243067738	0	dsf	102	512	2	155.853284252
PTB	0.00379305107902	2.69268238726	54.690525375	39.5809153275	4.59361108969	4.69869621257	4.65605022066	4.63588953006	4.62421318283	0.0	100	256	1	0.001	REAL	0.0	32	30	0.00379305107902	1	dsf	103	512	2	21.0791734098
Japanese	0.0836248599637	0.698783569336	8.8521371982	11.6780018057	5.24171687987	5.48187254322	5.37438681236	5.33006073324	5.30556267462	0.1	150	512	1	5e-05	REAL_REAL	0.05	2	30	0.0836248599637	4	ddsf	34	512	2	6.37266349608
