Language	Beta	EE	Memories	UpperBound	FutureSurp	avg16	avg17	avg18	avg19	 dropout1	emb_dim	rnn_dim	rnn_layers	lr	model	dropout2	batchSize	horizon	beta	flow_layers	flow_type	Iterations	flow_hid_dim	in_flow_layers
rip	0.225360137215	0.811735341503	1.14090827579	6.26042399385	0.419050522077	0.420937892993	0.425866780724	0.424810673265	0.424265817442	0.0	100	32	1	0.001	REAL	0.0	16	30	0.225360137215	2	dsf	10	64	2
even	0.486426229578	0.586759007952	0.679929410412	6.17142798891	0.465069347302	0.474925726662	0.473504939508	0.471907531075	0.470767563929	0.0	50	32	1	0.001	REAL	0.0	16	30	0.486426229578	1	ddsf	10	32	2
even	0.527606464872	0.60088563	0.662381292534	7.10138431517	0.464263367147	0.471895855363	0.470384112656	0.469185847136	0.468274759247	0.0	50	32	1	0.0001	REAL	0.0	32	30	0.527606464872	1	ddsf	10	64	2
English	0.34	0.0208247050345	0.119242162069	4.56118167506	1.91736171504	2.53971859329	2.26685900241	2.14710193811	2.08047647382	0.2	200	64	1	0.001	REAL	0.2	16	30	0.34	4	ddsf	20	512	2
rrxor	0.07655789763	-0.227237769503	0.0521444901753	2.80966641271	0.899777152737	0.94464101095	0.946046827433	0.934615106415	0.926076055014	0.0	50	32	1	0.001	REAL	0.2	32	30	0.07655789763	4	ddsf	10	128	2
English	0.373693699954	0.086560401914	0.252936752319	6.46119492049	1.89603969904	2.49378010802	2.24082298183	2.12728037115	2.06170866597	0.1	200	64	1	0.0005	REAL	0.0	16	30	0.373693699954	0	ddsf	30	512	2
forget2_0_5b	0.0586089042212	0.131902167198	0.71847754465	0.693167500055	0.561027683192	0.561518999546	0.56132490848	0.561226372461	0.561169007879	0.2	100	32	1	0.0001	REAL	0.0	64	30	0.0586089042212	2	dsf	10	128	2
PTB	0.00290956433956	2.65515574662	55.5911082555	30.2886321657	4.57568816689	4.58078392793	4.66280631888	4.63350000922	4.63165391448	0.2	100	256	1	0.0001	REAL	0.0	32	30	0.00290956433956	2	ddsf	104	512	2
rrxor	0.427808574965	0.00016176473335	0.0101429301884	0	0.943183465424	0.943154676692	0.943183774118	0.943184443868	0.943182975572	0.1	50	32	1	0.001	REAL	0.0	32	30	0.427808574965	1	ddsf	10	64	2
PTB	0.0109956858458	2.37546144801	44.9314143441	30.3619694545	4.59488663084	4.68936608054	4.73968483862	4.69863132809	4.69355310812	0.0	100	512	1	0.001	REAL	0.0	16	30	0.0109956858458	3	ddsf	46	512	2
forget2_0_5b	0.174176838906	0.0669556441305	0.315482534611	0.693155807148	0.563652614056	0.625964871203	0.592603255157	0.581464453876	0.575899148556	0.0	100	32	1	0.001	REAL	0.0	64	30	0.174176838906	1	ddsf	10	512	2
rrxor	0.285515122424	0.920435497773	1.40412634582	11.1968318607	0.790098490327	0.819926530375	0.819582256484	0.818462022746	0.814386356754	0.2	100	32	1	0.001	REAL	0.0	32	30	0.285515122424	2	ddsf	10	32	2
English	0.196478713384	0.617494833298	1.86172965145	8.33048306829	1.8651157194	2.08729143703	2.00569683555	1.96293115828	1.93659609247	0.2	100	64	1	0.001	REAL	0.1	32	30	0.196478713384	1	dsf	31	512	2
even	0.220563003383	0.625448774451	0.687711440761	9.86922227403	0.461953629442	0.463897057018	0.463677152198	0.463338760266	0.463124870249	0.0	100	32	1	0.0001	REAL	0.0	64	30	0.220563003383	1	ddsf	10	64	2
forget2_0_5b	0.190641996958	0.00820772662084	0.180732989166	0.697785953305	0.569164146061	0.689783715195	0.625228527847	0.603652760281	0.592869736185	0.0	50	32	1	0.001	REAL	0.0	16	30	0.190641996958	2	ddsf	10	64	2
rrxor	0.456187652469	-0.0267910978413	0.116134944015	5.40902943924	0.842427378609	0.928666593346	0.921648736905	0.911231926634	0.902730278818	0.0	100	32	1	0.001	REAL	0.0	16	30	0.456187652469	5	ddsf	10	32	2
repeat	0.00268427	15.4662480575	18.8743324526	16.4839545098	0.0678470968164	0.0614544996811	0.0666515566248	0.0676770680961	0.0672441946923	0.2	50	128	1	0.003	REAL	0.0	32	30	0.00268427	1	ddsf	70	512	2
English	0.04	0.869450749807	5.20085990047	12.0292786001	1.84596049335	1.93016048037	1.90473463814	1.88808107959	1.8770923522	0.0	200	128	1	0.001	REAL	0.1	16	30	0.04	1	ddsf	12	512	2
repeat2	0.0102507138762	5.5397361894	19.916252124	10.3980654748	0.323888619024	0.010888136501	0.0522044036796	0.120115207351	0.180383809935	0.1	50	32	1	0.0005	REAL	0.1	16	30	0.0102507138762	2	dsf	20	128	2
English	0.311314721121	0.158344183515	0.744219212214	6.46313911102	1.88744940832	2.43185179956	2.2080013683	2.10511551074	2.04449764768	0.0	300	256	1	0.001	REAL	0.0	32	30	0.311314721121	5	ddsf	7	512	2
rip	0.462915140604	0.65376270036	0.706593489906	4.56088727148	0.42922957924	0.418979206242	0.445908863103	0.450511466338	0.448790658734	0.2	100	32	1	0.004	REAL	0.0	64	30	0.462915140604	2	dsf	10	512	2
PTB	0.0818656892211	1.8214976972	10.4268546071	16.3554648344	4.6305841769	4.93384794161	4.89914863882	4.81452513345	4.78422541987	0.2	100	256	1	0.0001	REAL	0.0	32	30	0.0818656892211	2	ddsf	102	512	2
rrxor	0.911696996797	-0.10937068453	0.00822866410017	5.39374086399	0.84381249974	0.94312150456	0.94311348312	0.928791214374	0.918304760918	0.0	100	32	1	0.002	REAL	0.0	64	30	0.911696996797	1	ddsf	10	64	2
PTB	0.0126648912466	2.31039879924	32.2947851194	30.0905026969	4.56122047463	4.66240824608	4.70213989942	4.65015485799	4.64800524607	0.0	300	256	1	0.001	REAL	0.1	32	30	0.0126648912466	2	ddsf	96	512	2
rip	0.150437882135	0.812695674837	1.37949598946	6.26388260351	0.419237001362	0.422116152218	0.426342419261	0.424976671935	0.42464581724	0.1	50	32	1	0.0005	REAL	0.1	32	30	0.150437882135	1	ddsf	10	64	2
even	0.53150169851	0.0221941300326	0.018565770377	2.84495427061	0.506257734359	0.63675458932	0.623732932254	0.598975268201	0.58359785589	0.0	100	32	1	0.001	REAL	0.2	16	30	0.53150169851	1	ddsf	10	64	2
repeat	0.00268427	16.3922379527	19.3549354143	16.4834251815	0.00607914858554	0.00259656130627	0.00331530226495	0.00326465952567	0.00296909009177	0.1	50	256	1	0.001	REAL	0.0	32	30	0.00268427	1	ddsf	70	512	2
rrxor	0.268189977353	0.106558895785	0.0547099716954	6.3517814091	0.86615645368	0.938221710153	0.935752806415	0.924477176971	0.915473308121	0.2	100	32	1	0.002	REAL	0.0	16	30	0.268189977353	2	ddsf	10	128	2
PTB	0.048410197376	1.8572193293	14.3270364841	16.3569837617	4.6314849539	4.83519184782	4.82946200229	4.76596881282	4.7491280206	0.1	100	256	1	0.0001	REAL	0.0	32	30	0.048410197376	1	dsf	95	512	2
rrxor	0.136137273218	1.06801177953	2.28463740216	17.5188440742	0.779402057434	0.806433397373	0.804347396647	0.801369017553	0.798250188107	0.0	50	32	1	0.004	REAL	0.0	16	30	0.136137273218	3	dsf	10	32	2
rip	0.546871937351	0.492017368361	0.571845357992	4.13228805258	0.440532145865	0.463675080644	0.485600410642	0.485278461676	0.479326784921	0.0	50	32	1	0.001	REAL	0.1	16	30	0.546871937351	1	dsf	20	64	2
English	0.343018014575	0.233952121397	0.655037070115	6.46186275733	1.88811131555	2.35286738787	2.16333039783	2.07446099477	2.02214325422	0.0	50	64	1	0.001	REAL	0.0	64	30	0.343018014575	10	dsf	18	512	2
rrxor	0.0779654853105	0.255202501987	1.19073140335	7.16562711502	0.844164821165	0.86801367024	0.865938263676	0.865597905536	0.862797015329	0.0	100	32	1	0.001	REAL	0.1	32	30	0.0779654853105	1	dsf	10	32	2
rrxor	0.539354070777	-0.311699625038	0.0122215350469	4.57316999248	0.864754254105	0.948020390421	0.947890787937	0.934517365827	0.924307746168	0.0	50	32	1	0.002	REAL	0.0	32	30	0.539354070777	2	ddsf	10	64	2
English	0.00884282589982	1.0579350517	13.1187471797	19.3115427605	1.82388976204	1.84705137674	1.84171693579	1.83659729443	1.83321606593	0.1	50	256	1	0.0005	REAL	0.1	64	30	0.00884282589982	6	dsf	14	512	2
repeat2	0.00526705248075	9.94301129283	11.9493398666	10.4001055168	0.0304729482669	0.0185874832551	0.0199713073428	0.0217077799897	0.0230957169632	0.2	50	64	1	0.001	REAL	0.0	128	30	0.00526705248075	4	ddsf	29	512	2
rrxor	0.400031285569	-0.0700340824911	0.0332903296299	5.42963634006	0.853949243651	0.936653048442	0.935166531274	0.923063291114	0.913480432403	0.1	50	32	1	0.0001	REAL	0.0	16	30	0.400031285569	1	ddsf	10	32	2
even	0.708799474139	-0.00921829952829	0.00845291103963	2.82898602677	0.50505436673	0.635840619186	0.62220756678	0.598148884291	0.582736071573	0.0	50	32	1	0.001	REAL	0.1	64	30	0.708799474139	1	ddsf	10	128	2
